,name_comment,content_comment,skuInfo_comment,like_count
343,Carnation S.Chứng nhận đã mua hàng,"ví xịn xo, giao hàng lại rất nhanh và đóng gói hàng cẩn thận lần sau ủng hộ shop nhiêu hơn nữa",Nhóm màu:Màu đen,0
344,9***4Chứng nhận đã mua hàng,"Sản phẩm cầm về tay vượt ngoài mong đợi. Bước đầu hài lòng, da thì da bò thật, còn k biết là có bền không thui. Cho Shop 5 sao",Nhóm Màu:Cà phê,1
345,Nhân C.Chứng nhận đã mua hàng,"Mình thích Kiểu dáng đơn giản của ví này, da bò miếng thật còn bền hay không thì phải đợi thời gian nữa. Tạm thời cho shop 5 sao",Nhóm Màu:Cà phê,1
346,3***0Chứng nhận đã mua hàng,Hàng rất tốt. Mà có điều hơi to thêm 1 vài cm thì tuyệt vời………….,Nhóm Màu:Đen,0
347,0***9Chứng nhận đã mua hàng,"Đã nhận được hàng
Sản phẩm đúng mô tả
Chất lượng sản phẩm tốt
Đóng gói cẩn thận
Giao hàng nhanh",Nhóm Màu:Cà phê,1
348,0***9Chứng nhận đã mua hàng,"Màu sắc:  nâu
...............................................",Nhóm Màu:Cà phê,0
349,thanhChứng nhận đã mua hàng,"Bảo hành hai năm tiện lợi, Kích thước nhỏ gọn và thanh lịch, Quà tặng hoàn hảo cho người thân, Kèm theo hộp đẹp và thiệp,",Nhóm Màu:Cà phê,0
350,C***.Chứng nhận đã mua hàng,"Đóng gói cực chỉnh chu lịch sự 
Rất thích hợp làm quà tặng
Hỗ trợ viên nhiệt tình
Ví da thật nên sẽ khá mềm mại
Mình sử dụng ví đứng quen rồi nay dùng qua ví ngang hơi có chút bất tiện. 
Độ bền chưa biết nhưng theo nhiều đánh giá tốt thì mọi người nên trải nghiệm nhé.
 Màu sắc: nâu
 Chất liệu: da thật 100%
 Kiểu dáng: kiểu ngang lịch lãm

Bổ sung nhận xét: tiếc cho 1 sp chất lượng, mình ko tài nào xài được ví ngang này bỏ tiền dô nhiêu là nó trồi ra hết k cách nào vừa được cái ví 🥲🥲 Lại phải tốn kém mua lại rồi",Nhóm Màu:Đen,0
351,*******057Chứng nhận đã mua hàng,"Chất liệu:tốt
 Kiểu dáng:đẹp
 Màu sắc:đẹp
Chỉ cần nhìn ở khâu đóng gói thôi là thấy được cái tâm của nhà bán hàng bít tôn trọng và quan tâm đến khách hàng như thế nào! ⭐⭐⭐⭐⭐
Còn về sản phẩm đẹp, da êm mịm, đừng may tỉ mỉ cứng cáp. Thời gian Bảo hành thì 2 năm. Giá cả sau khi áp sale và mã mua rất đáng tiền. Nói chung không có gì phải chê. Vote ⭐⭐⭐⭐⭐",Nhóm Màu:Đen,0
352,Kim N.Chứng nhận đã mua hàng,"Chất liệu:da xịn
 Kiểu dáng:đẹp
 Màu sắc:màu nâu
ví da đẹp sờ mềm chắc dùng đc nhiều năm mới hỏng",Nhóm Màu:Cà phê,0
353,0***7Chứng nhận đã mua hàng,"Màu sắc:
hàng giống quảng cáo chỉ là kiện hàng đóng hơi xấu.",Nhóm Màu:Cà phê,0
354,*******418Chứng nhận đã mua hàng,Hàng đóng gói cẩn thận gửi nhanh chất lượng tốt màu sắc đẹp mọi người nên mua tặng shop 5sao,Nhóm Màu:Coffee（A17-02）,0
355,*******550Chứng nhận đã mua hàng,"đã nhận được hàng, đúng như quảng cáo, sẽ ủng hộ shop những lần sau, 5*.......quảng cáo có hộp mà giao hộp giấy kiểu này sao làm quà tặng hả shop",Color Family:Black（A17-01）,0
356,H***.Chứng nhận đã mua hàng,Tốt,Nhóm Màu:Cam,0
357,QuangChứng nhận đã mua hàng,"Thiết kế sang trọng và tinh tế,",Nhóm Màu:Xanh Rêu,0
358,Thẩm T.Chứng nhận đã mua hàng,"săn được sale 6.6 giá lại qá hợp lý, hài lòng, 6.6 mà giao hàng nhanh phết😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅",Color Family:Đen,3
359,Albert P. từ Philippines,"hàng điểu nhé, ae đừng mua, tui bị lừa rồi
mua cái này đưa cái kia, k giống quảng cáo bể xô",Nhóm Màu:Xanh Than,15
360,E***aChứng nhận đã mua hàng,ảnh b chụp nó có giống cái shop quảng cáo ko bạn???,Nhóm Màu:Xanh Than,0
361,trọng N.Chứng nhận đã mua hàng,da con me ching may lừa bố may ak ví như lồn đeo giống bai đăng lồn gi,Nhóm Màu:ĐẠI BÀNG ĐEN,4
362,9***1 từ Philippines,đảo bên cần phải có lễ thời gian,Màu:Đen,1
363,*******501Chứng nhận đã mua hàng,OK đẹp rẻ,Màu:Đen,0
364,*******980Chứng nhận đã mua hàng,vẻ bền ngoài đẹp chất da bò dày dặn nguyên tấm hàng thật giá thật cầm k bị nhão như mấy mẫu cũ mình từng mua ... thiết kế nhỏ gọn đút tiền vừa ... nên ủng hộ,Màu:ví,5
365,Về Đ.Chứng nhận đã mua hàng,"Cảm ơn quý khách đã tin tưởng sử dụng sản phẩm tại shop,Chúc quý khách có những trải nghiệm tuyệt vời khi sử dụng sản phẩm ạ",Màu:ví,0
366,Nhựt V.Chứng nhận đã mua hàng,RẤT TIN TƯỞNG SỬ DỤNG!!!,Màu:Nâu,1
